"No.","Time","Source","Destination","Protocol","Length","Info"
"1","17:23:50.051925","149.154.167.41","192.168.0.74","SSL","171","Continuation Data"
"2","17:23:50.052168","192.168.0.74","149.154.167.41","TCP","66","51643  >  443 [ACK] Seq=1 Ack=106 Win=65530 Len=0 TSval=2408272814 TSecr=1826496864"
"3","17:23:50.066526","192.168.0.74","5.28.195.2","TCP","78","52796  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1025763078 TSecr=0 SACK_PERM"
"4","17:23:50.066590","192.168.0.74","5.28.195.2","TCP","78","52794  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=818941640 TSecr=0 SACK_PERM"
"5","17:23:51.067741","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52796  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1025764079 TSecr=0 SACK_PERM"
"6","17:23:51.067802","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52794  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=818942641 TSecr=0 SACK_PERM"
"7","17:23:51.116480","192.168.0.74","20.50.73.13","TLSv1.2","144","Application Data"
"8","17:23:51.116948","192.168.0.74","20.50.73.13","TCP","1474","59495  >  443 [ACK] Seq=79 Ack=1 Win=2048 Len=1408 TSval=2713806580 TSecr=33345417 [TCP PDU reassembled in 10]"
"9","17:23:51.116949","192.168.0.74","20.50.73.13","TCP","1474","59495  >  443 [ACK] Seq=1487 Ack=1 Win=2048 Len=1408 TSval=2713806580 TSecr=33345417 [TCP PDU reassembled in 10]"
"10","17:23:51.116964","192.168.0.74","20.50.73.13","TLSv1.2","322","Application Data"
"11","17:23:51.199177","20.50.73.13","192.168.0.74","TCP","66","443  >  59495 [ACK] Seq=1 Ack=1487 Win=16384 Len=0 TSval=33443825 TSecr=2713806580"
"12","17:23:51.199180","20.50.73.13","192.168.0.74","TCP","66","443  >  59495 [ACK] Seq=1 Ack=3151 Win=16384 Len=0 TSval=33443825 TSecr=2713806580"
"13","17:23:51.212876","20.50.73.13","192.168.0.74","TLSv1.2","164","Application Data"
"14","17:23:51.213227","192.168.0.74","20.50.73.13","TCP","66","59495  >  443 [ACK] Seq=3151 Ack=99 Win=2047 Len=0 TSval=2713806677 TSecr=33443840"
"15","17:23:52.068677","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52796  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1025765080 TSecr=0 SACK_PERM"
"16","17:23:52.068740","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52794  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=818943642 TSecr=0 SACK_PERM"
"17","17:23:52.276614","192.168.0.74","64.65.63.120","TLSv1.2","602","Application Data"
"18","17:23:52.329030","64.65.63.120","192.168.0.74","TCP","66","443  >  52517 [ACK] Seq=1 Ack=537 Win=3058 Len=0 TSval=2614733525 TSecr=4083388475"
"19","17:23:52.329309","192.168.0.74","64.65.63.120","TLSv1.2","1116","Application Data"
"20","17:23:52.392513","64.65.63.120","192.168.0.74","TCP","66","443  >  52517 [ACK] Seq=1 Ack=1587 Win=3050 Len=0 TSval=2614733565 TSecr=4083388528"
"21","17:23:54.066695","192.168.0.74","5.28.195.2","TCP","78","52797  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=142038224 TSecr=0 SACK_PERM"
"22","17:23:54.066703","192.168.0.74","5.28.195.2","TCP","78","52798  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=816372275 TSecr=0 SACK_PERM"
"23","17:23:54.066829","192.168.0.74","5.28.195.2","TCP","78","52799  >  5222 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1792932359 TSecr=0 SACK_PERM"
"24","17:23:54.265576","5.28.195.2","192.168.0.74","TCP","74","443  >  52798 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=1841062424 TSecr=816372275 WS=1024"
"25","17:23:54.265816","192.168.0.74","5.28.195.2","TCP","66","52798  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=816372474 TSecr=1841062424"
"26","17:23:54.266084","192.168.0.74","5.28.195.2","TLSv1","583","Client Hello"
"27","17:23:54.310432","5.28.195.2","192.168.0.74","TCP","66","443  >  52798 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=1841062518 TSecr=816372475"
"28","17:23:54.314543","5.28.195.2","192.168.0.74","TCP","66","443  >  52798 [FIN, ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=1841062520 TSecr=816372475"
"29","17:23:54.314690","192.168.0.74","5.28.195.2","TCP","66","52798  >  443 [ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=816372523 TSecr=1841062520"
"30","17:23:54.314990","192.168.0.74","5.28.195.2","TCP","66","52798  >  443 [FIN, ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=816372524 TSecr=1841062520"
"31","17:23:54.323910","CompalBroadb_aa:60:7e","ee:99:94:f5:59:fd","ARP","56","Who has 192.168.0.74? Tell 192.168.0.1"
"32","17:23:54.323970","ee:99:94:f5:59:fd","CompalBroadb_aa:60:7e","ARP","42","192.168.0.74 is at ee:99:94:f5:59:fd"
"33","17:23:54.359394","5.28.195.2","192.168.0.74","TCP","56","443  >  52798 [RST] Seq=2 Win=0 Len=0"
"34","17:23:54.447899","2a00:ab00:533:6::100","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.2","110","Application Data"
"35","17:23:54.448652","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:ab00:533:6::100","TCP","86","56755  >  443 [ACK] Seq=1 Ack=25 Win=2048 Len=0 TSval=2790338528 TSecr=3010168805"
"36","17:23:54.448656","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:ab00:533:6::100","TLSv1.2","110","Application Data"
"37","17:23:54.448658","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:ab00:533:6::100","TLSv1.2","112","Application Data"
"38","17:23:54.476506","149.154.167.41","192.168.0.74","SSL","171","Continuation Data"
"39","17:23:54.476645","192.168.0.74","149.154.167.41","TCP","66","51643  >  443 [ACK] Seq=1 Ack=211 Win=65530 Len=0 TSval=2408277238 TSecr=1826501289"
"40","17:23:54.497084","2a00:ab00:533:6::100","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  56755 [ACK] Seq=25 Ack=25 Win=506 Len=0 TSval=3010168856 TSecr=2790338528"
"41","17:23:54.504396","2a00:ab00:533:6::100","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  56755 [ACK] Seq=25 Ack=51 Win=506 Len=0 TSval=3010168859 TSecr=2790338528"
"42","17:23:54.866618","CompalBroadb_aa:60:7e","ee:99:94:f5:59:fd","ARP","56","192.168.0.1 is at ac:22:05:aa:60:7e"
"43","17:23:55.067320","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52799  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1792933360 TSecr=0 SACK_PERM"
"44","17:23:55.067380","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52797  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=142039225 TSecr=0 SACK_PERM"
"45","17:23:55.475071","192.87.28.82","192.168.0.74","TLSv1.2","602","Application Data"
"46","17:23:55.475172","192.168.0.74","192.87.28.82","TCP","66","52516  >  9001 [ACK] Seq=1 Ack=537 Win=9058 Len=0 TSval=164023015 TSecr=1712659308"
"47","17:23:56.068528","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52799  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1792934361 TSecr=0 SACK_PERM"
"48","17:23:56.068614","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52797  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=142040226 TSecr=0 SACK_PERM"
"49","17:23:56.142884","192.168.0.74","5.28.195.2","TCP","78","52800  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2779785767 TSecr=0 SACK_PERM"
"50","17:23:56.316915","5.28.195.2","192.168.0.74","TCP","74","443  >  52800 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=2266499540 TSecr=2779785767 WS=1024"
"51","17:23:56.317153","192.168.0.74","5.28.195.2","TCP","66","52800  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=2779785942 TSecr=2266499540"
"52","17:23:56.317394","192.168.0.74","5.28.195.2","TLSv1","583","Client Hello"
"53","17:23:56.357554","5.28.195.2","192.168.0.74","TCP","66","443  >  52800 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=2266499718 TSecr=2779785942"
"54","17:23:56.357558","5.28.195.2","192.168.0.74","TCP","66","443  >  52800 [FIN, ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=2266499718 TSecr=2779785942"
"55","17:23:56.357775","192.168.0.74","5.28.195.2","TCP","66","52800  >  443 [ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=2779785982 TSecr=2266499718"
"56","17:23:56.357964","192.168.0.74","5.28.195.2","TCP","66","52800  >  443 [FIN, ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=2779785983 TSecr=2266499718"
"57","17:23:56.397737","5.28.195.2","192.168.0.74","TCP","56","443  >  52800 [RST] Seq=2 Win=0 Len=0"
"58","17:23:56.543631","192.168.0.74","5.28.195.2","TCP","78","52801  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=2739818279 TSecr=0 SACK_PERM"
"59","17:23:56.590316","5.28.195.2","192.168.0.74","TCP","74","443  >  52801 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=3030749771 TSecr=2739818279 WS=1024"
"60","17:23:56.590556","192.168.0.74","5.28.195.2","TCP","66","52801  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=2739818326 TSecr=3030749771"
"61","17:23:56.590818","192.168.0.74","5.28.195.2","TLSv1","583","Client Hello"
"62","17:23:56.786378","192.168.0.74","5.28.195.2","TCP","583","[TCP Retransmission] 52801  >  443 [PSH, ACK] Seq=1 Ack=1 Win=1048560 Len=517 TSval=2739818522 TSecr=3030749771"
"63","17:23:56.839918","5.28.195.2","192.168.0.74","TCP","66","443  >  52801 [ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=3030749854 TSecr=2739818327"
"64","17:23:56.839922","5.28.195.2","192.168.0.74","TCP","66","443  >  52801 [FIN, ACK] Seq=1 Ack=518 Win=67584 Len=0 TSval=3030749855 TSecr=2739818327"
"65","17:23:56.840150","192.168.0.74","5.28.195.2","TCP","66","52801  >  443 [ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=2739818576 TSecr=3030749855"
"66","17:23:56.840502","192.168.0.74","5.28.195.2","TCP","66","52801  >  443 [FIN, ACK] Seq=518 Ack=2 Win=1048560 Len=0 TSval=2739818576 TSecr=3030749855"
"67","17:23:56.895511","5.28.195.2","192.168.0.74","TCP","78","[TCP Dup ACK 63#1] 443  >  52801 [ACK] Seq=2 Ack=518 Win=67584 Len=0 TSval=3030750099 TSecr=2739818522 SLE=1 SRE=518"
"68","17:23:56.895516","5.28.195.2","192.168.0.74","TCP","56","443  >  52801 [RST] Seq=2 Win=0 Len=0"
"69","17:23:57.069770","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52799  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1792935362 TSecr=0 SACK_PERM"
"70","17:23:57.069850","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52797  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=142041227 TSecr=0 SACK_PERM"
"71","17:23:57.613295","149.154.167.41","192.168.0.74","SSL","171","Continuation Data"
"72","17:23:57.613512","192.168.0.74","149.154.167.41","TCP","66","51643  >  443 [ACK] Seq=1 Ack=316 Win=65530 Len=0 TSval=2408280375 TSecr=1826504402"
"73","17:23:57.888066","2a00:ab00:533:6::100","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  56752 [ACK] Seq=1 Ack=1 Win=487 Len=0 TSval=3010172205 TSecr=359105864"
"74","17:23:57.888250","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a00:ab00:533:6::100","TCP","86","[TCP ACKed unseen segment] 56752  >  443 [ACK] Seq=1 Ack=2 Win=2048 Len=0 TSval=359121266 TSecr=3009988391"
"75","17:23:58.070140","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52799  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=1792936363 TSecr=0 SACK_PERM"
"76","17:23:58.070212","192.168.0.74","5.28.195.2","TCP","78","[TCP Retransmission] 52797  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=142042228 TSecr=0 SACK_PERM"
"77","17:23:58.262445","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","98","56769  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=2189314769 TSecr=0 SACK_PERM"
"78","17:23:58.263999","192.168.0.74","1.1.1.1","DNS","71","Standard query 0xcd72 HTTPS xbox-dns.ru"
"79","17:23:58.264323","192.168.0.74","1.1.1.1","DNS","71","Standard query 0xe984 AAAA xbox-dns.ru"
"80","17:23:58.264640","192.168.0.74","1.1.1.1","DNS","71","Standard query 0x8fb6 A xbox-dns.ru"
"81","17:23:58.319692","192.168.0.74","31.192.108.181","TCP","78","59496  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3374419758 TSecr=0 SACK_PERM TFO=R"
"82","17:23:58.431184","1.1.1.1","192.168.0.74","DNS","129","Standard query response 0xe984 AAAA xbox-dns.ru SOA a.ns.selectel.ru"
"83","17:23:58.435738","1.1.1.1","192.168.0.74","DNS","87","Standard query response 0x8fb6 A xbox-dns.ru A 31.192.108.181"
"84","17:23:58.440049","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","94","443  >  56769 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM TSval=3975456160 TSecr=2189314769 WS=256"
"85","17:23:58.441554","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","86","56769  >  443 [ACK] Seq=1 Ack=1 Win=131136 Len=0 TSval=2189314947 TSecr=3975456160"
"86","17:23:58.441609","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","1466","56769  >  443 [ACK] Seq=1 Ack=1 Win=131136 Len=1380 TSval=2189314948 TSecr=3975456160 [TCP PDU reassembled in 87]"
"87","17:23:58.441614","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TLSv1.3","247","Client Hello (SNI=graph.whatsapp.net)"
"88","17:23:58.442770","192.168.0.74","31.192.108.181","TCP","78","[TCP Retransmission] 59496  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3374419882 TSecr=0 SACK_PERM"
"89","17:23:58.466030","31.192.108.181","192.168.0.74","TCP","74","443  >  59496 [SYN, ACK, ECE] Seq=0 Ack=1 Win=43440 Len=0 MSS=1420 SACK_PERM TSval=2469692024 TSecr=3374419758 WS=1024"
"90","17:23:58.466332","192.168.0.74","31.192.108.181","TCP","1474","59496  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=1408 TSval=3374419905 TSecr=2469692024 [TCP PDU reassembled in 91]"
"91","17:23:58.466362","192.168.0.74","31.192.108.181","TLSv1.3","196","Client Hello (SNI=xbox-dns.ru)"
"92","17:23:58.480722","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  56769 [ACK] Seq=1 Ack=1542 Win=68864 Len=0 TSval=3975456195 TSecr=2189314948"
"93","17:23:58.480724","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"94","17:23:58.480726","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.3","1466","Application Data"
"95","17:23:58.481573","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","86","56769  >  443 [ACK] Seq=1542 Ack=2761 Win=128384 Len=0 TSval=2189314988 TSecr=3975456196"
"96","17:23:58.482577","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.3","829","Application Data"
"97","17:23:58.483143","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","86","56769  >  443 [ACK] Seq=1542 Ack=3504 Win=130368 Len=0 TSval=2189314990 TSecr=3975456196"
"98","17:23:58.490618","1.1.1.1","192.168.0.74","DNS","129","Standard query response 0xcd72 HTTPS xbox-dns.ru SOA a.ns.selectel.ru"
"99","17:23:58.500761","31.192.108.181","192.168.0.74","TCP","74","[TCP Retransmission] 443  >  59496 [SYN, ACK, ECE] Seq=0 Ack=1 Win=43440 Len=0 MSS=1420 SACK_PERM TSval=2469692056 TSecr=3374419758 WS=1024"
"100","17:23:58.501007","192.168.0.74","31.192.108.181","TCP","66","[TCP Dup ACK 90#1] 59496  >  443 [ACK] Seq=1539 Ack=1 Win=132352 Len=0 TSval=3374419940 TSecr=2469692024"
"101","17:23:58.504998","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TLSv1.3","150","Change Cipher Spec, Application Data"
"102","17:23:58.505066","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2603:1063:7::c9","TLSv1.2","136","Application Data"
"103","17:23:58.506133","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TLSv1.3","481","Application Data"
"104","17:23:58.506253","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TLSv1.3","350","Application Data"
"105","17:23:58.538686","31.192.108.181","192.168.0.74","TCP","66","443  >  59496 [ACK] Seq=1 Ack=1539 Win=49152 Len=0 TSval=2469692083 TSecr=3374419905"
"106","17:23:58.538688","31.192.108.181","192.168.0.74","TLSv1.3","1474","Server Hello, Change Cipher Spec, Application Data"
"107","17:23:58.538690","31.192.108.181","192.168.0.74","TLSv1.3","1070","Application Data, Application Data, Application Data"
"108","17:23:58.538693","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  56769 [ACK] Seq=3504 Ack=2001 Win=71424 Len=0 TSval=3975456254 TSecr=2189315012"
"109","17:23:58.538695","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.3","265","Application Data"
"110","17:23:58.538697","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.3","160","Application Data"
"111","17:23:58.538703","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.3","130","Application Data"
"112","17:23:58.539117","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","86","56769  >  443 [ACK] Seq=2265 Ack=3801 Win=130816 Len=0 TSval=2189315046 TSecr=3975456255"
"113","17:23:58.539218","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TLSv1.3","117","Application Data"
"114","17:23:58.540111","192.168.0.74","31.192.108.181","TCP","66","59496  >  443 [ACK] Seq=1539 Ack=2413 Win=129984 Len=0 TSval=3374419978 TSecr=2469692083"
"115","17:23:58.549674","192.168.0.74","31.192.108.181","TLSv1.3","130","Change Cipher Spec, Application Data"
"116","17:23:58.551579","192.168.0.74","31.192.108.181","TLSv1.3","713","Application Data"
"117","17:23:58.555735","2603:1063:7::c9","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.2","125","Application Data"
"118","17:23:58.555984","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2603:1063:7::c9","TCP","86","51661  >  443 [ACK] Seq=51 Ack=40 Win=2048 Len=0 TSval=3584830561 TSecr=2401874391"
"119","17:23:58.563944","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  56769 [ACK] Seq=3801 Ack=2296 Win=74240 Len=0 TSval=3975456286 TSecr=2189315013"
"120","17:23:58.595964","31.192.108.181","192.168.0.74","TLSv1.3","321","Application Data"
"121","17:23:58.595965","31.192.108.181","192.168.0.74","TLSv1.3","321","Application Data"
"122","17:23:58.596458","192.168.0.74","31.192.108.181","TCP","66","59496  >  443 [ACK] Seq=2250 Ack=2923 Win=130688 Len=0 TSval=3374420035 TSecr=2469692154"
"123","17:23:58.598233","31.192.108.181","192.168.0.74","TLSv1.3","130","Application Data"
"124","17:23:58.598459","192.168.0.74","31.192.108.181","TCP","66","59496  >  443 [ACK] Seq=2250 Ack=2987 Win=131008 Len=0 TSval=3374420037 TSecr=2469692159"
"125","17:23:58.598603","192.168.0.74","31.192.108.181","TLSv1.3","97","Application Data"
"126","17:23:58.689571","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.3","570","Application Data"
"127","17:23:58.689574","31.192.108.181","192.168.0.74","TCP","66","443  >  59496 [ACK] Seq=2987 Ack=2281 Win=52224 Len=0 TSval=2469692247 TSecr=3374420038"
"128","17:23:58.690032","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","86","56769  >  443 [ACK] Seq=2296 Ack=4285 Win=130624 Len=0 TSval=2189315197 TSecr=3975456411"
"129","17:23:58.695731","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TLSv1.3","125","Application Data"
"130","17:23:58.696117","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TLSv1.3","110","Application Data"
"131","17:23:58.696462","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","86","56769  >  443 [FIN, ACK] Seq=2359 Ack=4285 Win=131072 Len=0 TSval=2189315203 TSecr=3975456411"
"132","17:23:58.938966","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.3","125","Application Data"
"133","17:23:58.938969","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TLSv1.3","110","Application Data"
"134","17:23:58.938971","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","443  >  56769 [FIN, ACK] Seq=4348 Ack=2360 Win=74240 Len=0 TSval=3975456445 TSecr=2189315203"
"135","17:23:58.938972","2a03:2880:f265:c7:face:b00c:0:167","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","TCP","86","[TCP Retransmission] 443  >  56769 [FIN, ACK] Seq=4348 Ack=2360 Win=74240 Len=0 TSval=3975456510 TSecr=2189315203"
"136","17:23:58.938974","64.65.63.120","192.168.0.74","TLSv1.2","602","Application Data"
"137","17:23:58.939173","192.168.0.74","64.65.63.120","TCP","66","52517  >  443 [ACK] Seq=1587 Ack=537 Win=18782 Len=0 TSval=4083395138 TSecr=2614740055"
"138","17:23:58.939258","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","74","56769  >  443 [RST] Seq=2335 Win=0 Len=0"
"139","17:23:58.939261","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","74","56769  >  443 [RST] Seq=2360 Win=0 Len=0"
"140","17:23:58.939262","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","74","56769  >  443 [RST] Seq=2360 Win=0 Len=0"
"141","17:23:58.939263","2a02:ab88:b:4100:6163:ab1b:4f48:fc2c","2a03:2880:f265:c7:face:b00c:0:167","TCP","74","56769  >  443 [RST] Seq=2360 Win=0 Len=0"
"142","17:23:58.965750","31.192.108.181","192.168.0.74","TLSv1.3","216","Application Data"
"143","17:23:58.966096","192.168.0.74","31.192.108.181","TCP","66","59496  >  443 [ACK] Seq=2281 Ack=3137 Win=130944 Len=0 TSval=3374420405 TSecr=2469692525"
"144","17:23:59.028300","31.192.108.181","192.168.0.74","TLSv1.3","228","Application Data"
"145","17:23:59.028771","192.168.0.74","31.192.108.181","TCP","66","59496  >  443 [ACK] Seq=2281 Ack=3299 Win=130944 Len=0 TSval=3374420467 TSecr=2469692568"
"146","17:23:59.141301","31.192.108.181","192.168.0.74","TLSv1.3","246","Application Data"
"147","17:23:59.141731","192.168.0.74","31.192.108.181","TCP","66","59496  >  443 [ACK] Seq=2281 Ack=3479 Win=130944 Len=0 TSval=3374420580 TSecr=2469692701"
"148","17:23:59.260263","91.105.192.100","192.168.0.74","TCP","66","443  >  52206 [FIN, ACK] Seq=1 Ack=1 Win=2048 Len=0 TSval=1663480115 TSecr=1684961022"
"149","17:23:59.260559","192.168.0.74","91.105.192.100","TCP","66","52206  >  443 [ACK] Seq=1 Ack=2 Win=65535 Len=0 TSval=1685216816 TSecr=1663480115"
"150","17:23:59.260814","192.168.0.74","91.105.192.100","TCP","66","52206  >  443 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0 TSval=1685216817 TSecr=1663480115"
"151","17:23:59.263012","192.168.0.74","91.105.192.100","TCP","78","52802  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=4017724194 TSecr=0 SACK_PERM"
"152","17:23:59.377289","fe80::49c:fb07:3c9a:aa62","fe80::ae22:5ff:feaa:607e","ICMPv6","86","Neighbor Solicitation for fe80::ae22:5ff:feaa:607e from ee:99:94:f5:59:fd"
"153","17:23:59.461656","91.105.192.100","192.168.0.74","TCP","66","443  >  52206 [ACK] Seq=2 Ack=2 Win=2048 Len=0 TSval=1663480164 TSecr=1685216817"
"154","17:23:59.461659","91.105.192.100","192.168.0.74","TCP","74","443  >  52802 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1240 SACK_PERM TSval=811574392 TSecr=4017724194 WS=32"
"155","17:23:59.462037","192.168.0.74","91.105.192.100","TCP","66","52802  >  443 [ACK] Seq=1 Ack=1 Win=1048560 Len=0 TSval=4017724393 TSecr=811574392"
"156","17:23:59.462778","192.168.0.74","91.105.192.100","SSL","251","Continuation Data"
